SLUR RATE,PROP CON,TR PRESS
64.4,0.0,7913.0
64.8,0.0,8000.0
65.2,0.0,8049.0
65.7,0.0,8081.0
66.4,0.0,8132.0
67.2,0.0,8164.0
67.7,0.0,8153.0
68.5,0.0,8141.0
69.3,0.0,8166.0
69.9,0.0,8180.0
70.6,0.0,8203.0
71.2,0.0,8216.0
71.7,0.0,8206.0
72.3,0.0,8191.0
72.7,0.0,8201.0
73.1,0.0,8186.0
73.5,0.0,8150.0
73.8,0.0,8201.0
74.1,0.0,8220.0
74.5,0.0,8228.0
75.0,0.0,8208.0
75.3,0.0,8199.0
75.6,0.0,8155.0
75.8,0.0,8114.0
75.9,0.0,8121.0
76.2,0.0,8145.0
76.2,0.0,8144.0
76.5,0.0,8107.0
76.7,0.0,8122.0
76.9,0.0,8103.0
76.8,0.0,8100.0
77.0,0.0,8101.0
77.1,0.0,8171.0
77.1,0.0,8192.0
77.3,0.0,8190.0
77.5,0.0,8173.0
77.9,0.0,8174.0
78.2,0.0,8141.0
78.5,0.0,8116.0
78.5,0.0,8075.0
79.0,0.0,8066.0
79.0,0.0,8037.0
79.1,0.0,8028.0
79.1,0.0,8057.0
79.2,0.0,8084.0
79.3,0.0,8083.0
79.4,0.0,8071.0
79.7,0.0,8045.0
79.9,0.0,8043.0
80.1,0.0,8024.0
80.2,0.0,8045.0
80.3,0.0,8105.0
80.5,0.0,8137.0
80.7,0.0,8140.0
81.2,0.0,8128.0
81.6,0.0,8216.0
81.7,0.0,8236.0
82.1,0.0,8241.0
82.5,0.0,8288.0
83.1,0.0,8296.0
83.5,0.0,8157.0
84.0,0.0,8132.0
83.9,0.0,8108.0
83.8,0.0,8071.0
83.8,0.0,8083.0
83.7,0.0,8122.0
83.5,0.0,8132.0
83.4,0.0,8138.0
83.5,0.0,8161.0
83.5,0.0,8195.0
83.4,0.0,8227.0
83.6,0.0,8306.0
83.8,0.0,8435.0
84.2,0.0,8449.0
84.9,0.0,8475.0
85.5,0.0,8506.0
